pgn_aptkira_dinner | [pname_kira[0]], неожиданно тебя видеть с нами за ужином, что-то случилось? Плохое или хорошее? | [pname_kira[0]], suddenly you see us at dinner, something happened? Bad or good?
pgn_newolivhome_01 | Оливия, не переживай, я что-нибудь придумаю, как вам помочь. | Olivia, don't worry, I'll figure something out how to help you.
pgn_newolivhome_01 | Спасибо тебе, Макс. | Thank you, Max.
pgn_newolivhome_01 | Да пока не за что, беги на урок. | You're welcome to run to class.
pgn_newolivhome_01 | Пока. | Bye.
pgn_newolivhome_02 | Да. Я ищу квартиру для съёма. | Yes. I'm looking for an apartment to rent.
pgn_newolivhome_02 | В каком районе желаете? | Where do you want to go?
pgn_newolivhome_02 | Точно не знаю, главное, чтобы не слишком далеко от школы и по приемлемой цене. | I don't know exactly, as long as it's not too far from the school and at a reasonable price.
pgn_newolivhome_02 | Хм... есть у меня одна квартира на примете. Думаю, она вам подойдёт. | Um... I've got one apartment in mind. I think she'll be fine for you.
pgn_newolivhome_02 | Как насчёт того, чтобы встретиться завтра в городе? | How about we meet tomorrow in town?
pgn_newolivhome_02 | Ок. А где именно? | Okay. Where exactly?
pgn_newolivhome_02 | Знаете, в районе школы есть одно Кафе? | You know, there's a Café in the school district?
pgn_newolivhome_02 | Да. Бываю там иногда. | Yeah. I go there sometimes.
pgn_newolivhome_02 | Хорошо, тогда встретимся в 15:00 и я проведу вам осмотр. | Okay, then I'll meet you at 15:00 and I'll give you a checkup.
pgn_newolivhome_02 | И вот вам мой номер для контакта. | And here's my contact number.
pgn_newolivhome_03 | Привет, [pname_max[0]]! Не хочешь заказать чего-нибудь? | Hi, [pname_max[0]]! Do you want to order something?
pgn_newolivhome_03 | Спасибо. Я ничего не буду. | Thank you. I won't have anything.
pgn_newolivhome_03 | А чего сегодня один и без сестры? | Why is it today alone and without a sister?
pgn_newolivhome_03 | Я кое-кого жду. | I'm waiting for someone.
pgn_newolivhome_03 | Девушку? | Girlfriend?
pgn_newolivhome_03 | А... эм... нет. Я жду агента по недвижимости. | Ah... Um... (sighs) No, I don't. (Laughs) I'm waiting for a real estate agent.
pgn_newolivhome_03 | Подыскиваешь себе квартиру, решил стать взрослым и жить отдельно? Если хочешь, можешь пожить со мной. | Looking for an apartment, decided to become an adult and live separately? If you want, you can live with me.
pgn_newolivhome_03 | Спасибо, но нет. Меня друг попросил помочь ему с поисками нового жилья. | Thank you, but no. A friend of mine asked me to help him find a new place to live.
pgn_newolivhome_03 | А, ясно. | Oh, right.
pgn_newolivhome_03 | Если понадобится ещё кофе, зови. | If you need more coffee, call me.
pgn_newolivhome_03 | Хорошо. | Okay.
pgn_newolivhome_03 | Здравствуйте. Я полагаю, вы [pname_max[0]]? | Hello. I assume you're [pname_max[0]]?
pgn_newolivhome_03 | Да, это я. | Yes, it's me.
pgn_newolivhome_03 | Будете кофе, вам заказать? | Would you like some coffee, please?
pgn_newolivhome_03 | О нет, спасибо. | Oh, no, thank you.
pgn_newolivhome_03 | Хм... | Um...
pgn_newolivhome_03 | Что такое, что не так с моим лицом? | What is it, what's wrong with my face?
pgn_newolivhome_03 | Вы мне кажитесь знакомым и вроде где-то видела, но не могу вспомнить... | You seem familiar to me and I thought you saw it somewhere, but I can't remember...
pgn_newolivhome_03 | Может вам показалось!? | Maybe you think so!
pgn_newolivhome_03 | Ох, вспомнила! Вы то самый, [pname_max[0]]. с большим и здоровенным... Ой! Забыла, что мы в общественном месте. | Oh, I remember! You're the one with the big and big... Oh! Forgot we're in a public place.
pgn_newolivhome_03 | Видимо да, это я. | Apparently, it's me.
pgn_newolivhome_03 | Вы готовы, можем идти? | Are you ready, can we go?
pgn_newolivhome_03 | А далеко идти? | How far do we go?
pgn_newolivhome_03 | Близко, можем пройтись пешком. | Close, we can walk.
pgn_newolivhome_03 | Хорошо. | Okay.
pgn_newolivhome_03 | Вот мы и пришли. | Here we come.
pgn_newolivhome_03 | Проходите, я покажу вам весь дом. | Come in, I'll show you the whole house.
pgn_newolivhome_03 | {i}Дом!? Да я вроде говорил про квартиру. Наверное очень дорого будет стоить.{/i} | {i}Home!? I thought I was talking about the apartment. It's probably gonna be very expensive.{/i}
pgn_newolivhome_03 | {i}Эта дамочка, Миранда. Видно, внешне, что увлекается фитнесом, да и не только, вся такая накаченная... А если она не Миранда, вовсе... страшновато заходить в такой дом. Но я здесь ради Оливии.{/i} | {i} This lady, Miranda. Apparently, he's into fitness, and not only that, all that stuffed up... And if she's not Miranda, she's not... it's a little scary to go into a house like this. But I'm here for Olivia.{/i}
pgn_newolivhome_03 | В конце этого коридора дверь, ведущая на цокольный этаж или же подвал. Через цокольный этаж можно попасть на задний двор. | At the end of this corridor there is a door leading to the basement or basement. You can get to the back yard through the basement.
pgn_newolivhome_03 | Давайте сначала покажу тут вам всё, а уже потом в конце можно выйти на задний двор. | Let me show you everything first, and then you can go out to the backyard at the end.
pgn_newolivhome_03 | Здесь можно расположить столовую, кухню. Хозяин квартиры сам не готовит, поэтому здесь нет ни какой мебели, даже кухонной гарнитуры. | Here you can place the dining room, kitchen. The landlord doesn't cook himself, so there's no furniture, not even a kitchen set.
pgn_newolivhome_03 | А мебель хоть какая-то есть в доме? | Is there any furniture in the house?
pgn_newolivhome_03 | Да, в некоторых помещениях она имеется. Теперь поднимемся на второй этаж. | Yes, it is available in some premises. Now we'll go up to the second floor.
pgn_newolivhome_03 | Будьте осторожны и держитесь за поручень. | Be careful and hold on to the handrail.
pgn_newolivhome_03 | {i}Я бы подержался за её большую попку. Но ни как не могу выкинуть мысль из головы, что вдруг она не женщина вовсе и врезать может очень сильно.{/i} | {i} I'd hold on to her big ass. But I can't get the idea out of my head that suddenly she's not a woman at all and she can punch me very hard.{/i}
pgn_newolivhome_03 | Это спальня. Как видите из мебели имеется: кровать, тумбочки, с каждой стороны и справа гардеробный шкаф. | This is the bedroom. As you can see from the furniture there is a bed, bedside tables, wardrobe on each side and on the right.
pgn_newolivhome_03 | {i}Кажется это женская комната. Только она говорила, что здесь живёт или жил хозяин, а не хозяйка. Может это её дом?{/i} | {i}I think it's a women's room. Only she said the owner lived here or lived here, not the landlady. Maybe it's her house.{/i}
pgn_newolivhome_03 | Просторная гостиная... | Spacious living room...
pgn_newolivhome_03 | Без телевизора. | No TV.
pgn_newolivhome_03 | Эм... да, без телевизора. Хозяин дома редко что-то смотрит, у него очень мало времени, очень занятой человек. | Um... Yeah, without the TV. The owner of the house rarely watches anything, he has very little time, a very busy man.
pgn_newolivhome_03 | Так же имеется барная стойка. Выпивка бесплатна, в арендную плату не входит. | There is also a bar counter. Drinks are free, not included in the rent.
pgn_newolivhome_03 | Хорошо. Посмотрим, что тут у нас на последнем этаже. | Okay. Let's see what's on the top floor here.
pgn_newolivhome_03 | {i}Хм... две душевые стойки? И место очень много, есть где развернуться.{/i} | {i}um... two shower stands? And there's plenty of room to turn around.{/i}
pgn_newolivhome_03 | А тут была детская? | Was there a nursery here?
pgn_newolivhome_03 | Ну, да, можно эту комнату переделать в детскую... У вас есть дети? | Well, yeah, you can turn this room into a nursery... Do you have children?
pgn_newolivhome_03 | А... нет, нет. Просто ассоциация с двуярусной кроватью. И комната очень большая, только какая-то пустая. | Ah... No, no Just an association with a bunk bed. And the room is very large, but it's empty.
pgn_newolivhome_03 | Они двуспальные, так что тут могут уместиться 4 человека или может даже больше. | They're double, so they can fit four people or maybe even more.
pgn_newolivhome_03 | Теперь посмотрим задний двор? | Shall we see the backyard now?
pgn_newolivhome_03 | Да, конечно. | Yes, of course.
pgn_newolivhome_03 | {i}Хм... а бассейна нет.{/i} | {i}um... and there's no pool.{/i}
pgn_newolivhome_03 | И так, вы ищите себе апартаменты для проживания или для вечеринок? Такому актёру, как вы, могу предложить вариант получше. | So, are you looking for a place to stay or to party? An actor like you can do better than that.
pgn_newolivhome_03 | {i}Вариант получше!? Наверное будет стоить ещё дороже.{/i} | {i}Better option!? Probably cost even more.{/i}
pgn_newolivhome_03 | Нет. Я просто хочу помочь знакомой. | No. I just want to help a friend.
pgn_newolivhome_03 | А, своей тайной девушке или любовнице? | Oh, your secret girlfriend or your mistress?
pgn_newolivhome_03 | Эм... | Um...
pgn_newolivhome_03 | Хорошо, не буду давить. Перейдём к цене. Арендная плата в месяц составляет $5000. | Okay, I won't push. Let's move on to the price. The monthly rent is $5,000.
pgn_newolivhome_03 | {i}Ого! Как много. Мы за свой дом платим $4000, но у нас территория больше и бассейн. Хотя у нас свой дом, а не чужой.{/i} | {i}wow! That's a lot. We pay $4,000 for our house, but we have more land and a pool. Although we have our own house, not someone else's.{/i}
pgn_newolivhome_03 | А скидку можно? | Can I get a discount?
pgn_newolivhome_03 | Хм... думаю смогу уговорить владельца на скидку, может даже большую. Но конечно не за просто так. | Um... I think I can talk the owner into a discount, maybe even more. But of course not for nothing.
pgn_newolivhome_03 | Я готов на всё что угодно, хоть прям сейчас. | I'll do anything right now.
pgn_newolivhome_03 | Нет, нет, стоп. Я конечно не против когда-нибудь посмотреть на ваш инструмент по ближе, но меня интересует другая особа. | No, no, no, stop. I don't mind looking at your instrument any closer, but I'm interested in another person.
pgn_newolivhome_03 | Ходят слухи, что вы очень хорошо знакомы и даже больше, с режиссером и сценаристом этих фильмов, в которых вы снимаетесь. | There are rumors that you are very well acquainted and even more with the director and scriptwriter of these films in which you are starring.
pgn_newolivhome_03 | Ах, да, я её знаю.\n{i}Откуда эти слухи пошли, ну было один раз, минет она мне сделала в одном фильме.{/i} | Oh, yeah, I know her. {i} Where the rumors came from, well, once, she gave me a blow job in a movie.{/i}
pgn_newolivhome_03 | Очень хотела бы с ней встретиться, лично. Можете устроить? | I would love to meet her in person. Can you arrange that?
pgn_newolivhome_03 | Попробую с ней поговорить. | I'll try to talk to her.
pgn_newolivhome_03 | Договорились. Но знайте, предложение ограничено, максимум 2 недели могу подождать, а после ни о какой скидке идти речи и не может быть. | Deal. But you know, the offer is limited, I can wait for a maximum of 2 weeks, and after no discount, it's out of the question.
pgn_newolivhome_03 | Понял. Спасибо. | Got it. Thank you.
pgn_newolivhome_04a | Ой, кто тут у нас, [pname_max[0]]! Снова что-то от любимой тёти нужно. | Oh, who's here, [pname_max[0]]! You need something from your beloved aunt again.
pgn_newolivhome_04a | Да, так и есть. | Yes, it is.
pgn_newolivhome_04a | Для любимого племянника, что угодно. | For your favorite nephew, anything.
pgn_newolivhome_04a | В общем, у моей знакомой проблемы с жильём и я предложил свою помощь. | Well, my friend has a housing problem and I offered my help.
pgn_newolivhome_04a | Не думаю, что мама позволит кого-то приютить. | I don't think Mom's gonna let anybody take shelter.
pgn_newolivhome_04a | Нет, я не об этом. | No, that's not what I'm saying.
pgn_newolivhome_04a | Так вот, я нашёл подходящее жильё, близко находится к школе и т.д., но оно слишком дорого стоит. | Well, I've found a suitable place to live, is close to school, etc., but it's too expensive.
pgn_newolivhome_04a | Эм... в долг дать деньги не с могу, я как только получаю, сразу трачу. | Um... I can't lend you money, I'll spend it as soon as I get it.
pgn_newolivhome_04a | ... | ...
pgn_newolivhome_04a | Снова мимо? Хорошо, продолжай. | Passing by again? Okay, go ahead.
pgn_newolivhome_04a | Агент по недвижимости готов предоставить скидку, но попросили встречи с тобой. Что-то вроде свидания. | The real estate agent is ready to provide a discount, but asked to meet you. It's kind of like a date.
pgn_newolivhome_04a | А он красивый, этот агент? | Is he handsome, this agent?
pgn_newolivhome_04a | Это женщина и да, красивая, вроде. И о на узнала меня, по нашим... фильмам. | It's a woman and yes, beautiful, I think. And she didn't recognize me from our... movies.
pgn_newolivhome_04a | Хм, раз узнала, странно что не пригласила тебя. | Um, since I found out I didn't invite you.
pgn_newolivhome_04a | Ты пойдёшь, с ней? | Are you going with her?
pgn_newolivhome_04a | Даже и не знаю, я её даже не видела в лицо, но даже если ты говоришь, что она красивая, то поверю на слово. Но, что мне с этого будет? | I don't know, I haven't even seen her in the face, but even if you say she's beautiful, I'll take your word for it. But what's in it for me?
pgn_newolivhome_04a | Всё что захочешь, я сделаю. | Whatever you want, I'll do it.
pgn_newolivhome_04a | Я соглашусь, если ты выучишь отлично все сценарии фильмов и снимешься без единой ошибки. Тогда помогу. А пока нет. | I'll agree if you learn all the scripts perfectly and shoot without a mistake. Then I'll help you. But not yet.
pgn_newolivhome_04a | Но у меня не так много времени есть, потом ни какой скидки не будет. | But I don't have much time, and then I won't get any discount.
pgn_newolivhome_04a | Я сказала, нет. Или съёмки в фильмах или ни как. | I said no. Or filming or whatever.
pgn_newolivhome_04a | Хорошо, я с ней встречусь. | Okay, I'll meet her.
pgn_newolivhome_04a | Вот её контакт. Спасибо тебе огромное. | Here's her contact. Thank you so much.
pgn_newolivhome_04b | Я выполнил твоё условие? | Did I fulfill your condition?
pgn_newolivhome_04b | Какое условие? | What condition?
pgn_newolivhome_04b | Ну, чтобы ты сходила на свидание с Мирандой. | Well, I want you to go out with Miranda.
pgn_newolivhome_04b | Ах да, точно, уже и забыла. Хорошо, я с ней встречусь. | Oh, yeah, right, I already forgot. Okay, I'll meet her.
pgn_newolivhome_04b | Вот её контакт. Заранее, спасибо тебе огромное. | Here's her contact. In advance, thank you so much.
pgn_newolivhome_04c | {#l=Снова что-то от любимой тёти нужно.} | {#l=I need something from my beloved aunt again.} | pgn_newolivhome_04c | {#r=Да, так и есть.} | {#r=Yes, it is.} | pgn_newolivhome_04c | {#l=Для любимого племянника, что угодно.} | {#l=For your favorite nephew, anything.} | pgn_newolivhome_04c | {#r=В общем, у моей знакомой проблемы с жильём и...} | {#r=Anyway, my friend has a housing problem and...} | pgn_newolivhome_04c | {#l=Хочешь попросить маму разрешения пожить здесь?} | {#l=Do you want to ask your mother for permission to stay here?} | pgn_newolivhome_04c | {#r=Нет, я не об этом.} | {#rNo, that's not what I'm saying.} | pgn_newolivhome_04c | {#r=Так вот, я нашёл подходящее жильё, но оно дорого стоит.} | {#r=So I found the right place to live, but it's expensive.} | pgn_newolivhome_04c | {#l=Денег у меня нет.} | {#l=I don't have any money.} | pgn_newolivhome_04c | {#r=...} | {#r=...} | pgn_newolivhome_04c | {#l=Хорошо, продолжай.} | {#l=Okay, go ahead.} | pgn_newolivhome_04c | {#r=Агент по недвижимости готов предоставить скидку, но попросили встречи с тобой. Что-то вроде свидания.} | {#r=The real estate agent is ready to give you a discount, but asked to meet you. It's kind of like a date.} | pgn_newolivhome_04c | {#l=А он красивый, этот агент?} | {#l=Is he handsome, this agent?} | pgn_newolivhome_04c | {#r=Это женщина и да, красивая, вроде.} | {#r=It's a woman and yes, beautiful, I think.} | pgn_newolivhome_04c | {#r=Ты пойдёшь, с ней?} | {#r=Will you go with her?} | pgn_newolivhome_04c | {#l=Даже и не знаю. Но, что мне с этого будет?} | {#l=Even though I don't know. But what's in it for me?} | pgn_newolivhome_04c | {#r=Всё что захочешь, я сделаю.} | {#r=Anything you want, I'll do.} | pgn_newolivhome_04c | {#l=Я соглашусь, если ты снимаешься несколько раз в фильмах.} | {#l=I'll take it if you do it a few times in the movies.} | pgn_newolivhome_04c | {#r=Легко} | {#r=Easy.} | pgn_newolivhome_04c | {#l=Легко!? Хорошо, только не забудь текст выучить наизусть.} | {#l=Easy! Okay, just remember to memorize the text.} | pgn_newolivhome_04c | {#r=Но у меня не так много времени есть.} | {#r=But I don't have much time.} | pgn_newolivhome_04c | {#l=Выполнишь моё условия, тогда поговорим.} | {#l=You meet my conditions, then we'll talk.} | pgn_newolivhome_04c | {#l=Хорошо, я с ней встречусь.} | {#l=Okay, I'll meet her.} | pgn_newolivhome_04c | {#r=Контакт отправлен} | {#r=Contact sent} | pgn_newolivhome_04c | {#r=Вот её контакт. Спасибо тебе огромное.} | {#r=That's her contact. Thank you so much.} | pgn_newolivhome_04d | {#r=Я выполнил твоё условие?} | {#r=Did I fulfill your condition?} | pgn_newolivhome_04d | {#l=Какое условие?} | {#l=What condition?} | pgn_newolivhome_04d | {#r=Ну, чтобы ты сходила на свидание с Мирандой.} | {#r=Well, I want you to go out with Miranda.} | pgn_newolivhome_04d | {#l=Ах да, точно, уже и забыла. Хорошо, я с ней встречусь.} | {#l=Oh, yeah, right, I forgot. Okay, I'll meet her.} | pgn_newolivhome_04d | {#r=Вот её контакт. Заранее, спасибо тебе огромное.} | {#r=That's her contact. In advance, thank you so much.} | pgn_newolivhome_04d | {#r=Контакт отправлен} | {#r=Contact sent} | pgn_newolivhome_05a | {i}О! Тётя [pname_kira[0]] пришла с свидания. Пойду узнаю у неё.{/i} | {i}oh! Aunt [pname_kira[0]] came on a date. I'm gonna go check with her.{/i}
pgn_newolivhome_05a | Привет. А чего в дом не заходишь? | Hi. Why don't you come inside?
pgn_newolivhome_05a | Я так устала, что еле дошла от такси и до сюда. | I'm so tired, I barely got from the taxi to here.
pgn_newolivhome_05a | Могу помочь дойти или может даже донести. | I can help you get there or maybe even carry it.
pgn_newolivhome_05a | Ручки не отвалятся? Спасибо, племянник, но я тут ещё немного полежу и сама дойду, не переживай. | The pens won't fall off? Thank you, nephew, but I'm gonna lie here a little longer and I'm gonna go by myself, don't worry.
pgn_newolivhome_05a | Как прошло свидание? | How was your date?
pgn_newolivhome_05a | Мы с ней так долго разговаривали, и оказывается у нас так много общих интересов. Так наговорилась, что челюсть побаливает. | We talked to her for so long, and it turns out we have so many common interests. So much for the jaw ache.
pgn_newolivhome_05a | {i}Я знаю, как она много ртом работала. Но думаю, что лучше не говорить ей пока об этом, что у меня есть видео.{/i} | {i}I know how much she worked with her mouth. But I think it's best not to tell her yet that I have a video.{/i}
pgn_newolivhome_05a | Она, что-нибудь сказала? | Did she say anything?
pgn_newolivhome_05a | Да. Пригласила меня ещё на свидание. | Yeah. She asked me out on another date.
pgn_newolivhome_05a | Потом мне расскажешь как прошло? | Will you tell me how it went later?
pgn_newolivhome_05a | Да, да. Дай тёте ешё немного отдохнуть, а сам иди спать. | Yes, yes. Let your aunt rest a little while you go to bed.
pgn_newolivhome_05a | Хорошо, тогда оставлю тебя. Спокойной ночи. | Okay, then I'll leave you to it. Good night.
pgn_newolivhome_05b | Как прошло свидание? | How was your date?
pgn_newolivhome_05b | Мы с ней так долго разговаривали, и оказывается у нас так много общих интересов. Так наговорилась, что челюсть побаливает. | We talked to her for so long, and it turns out we have so many common interests. So much for the jaw ache.
pgn_newolivhome_05b | {i}Я знаю, как она много ртом работала. Но думаю, что лучше не говорить ей пока об этом, что у меня есть видео.{/i} | {i}I know how much she worked with her mouth. But I think it's best not to tell her yet that I have a video.{/i}
pgn_newolivhome_05b | Она, что-нибудь сказала? | Did she say anything?
pgn_newolivhome_05b | Да. Пригласила меня ещё на свидание. | Yes. She asked me out on another date.
pgn_newolivhome_05b | Потом мне расскажешь как прошло? | Will you tell me how it went later?
pgn_newolivhome_05b | Если тебе так интересно, то расскажу. | If you're so interested, I'll tell you.
pgn_newolivhome_05b | Хорошо, тогда оставлю тебя. | Okay, then I'll leave you to it.
pgn_newolivhome_06a | Не спится? | Can't sleep?
pgn_newolivhome_06a | Решил тебя проведать, узнать как дела. | I thought I'd check on you, see how you were doing.
pgn_newolivhome_06a | Хорошо, сейчас... очень хорошо. Тёплая вода... расслабляет. | Okay, now... very well. Warm water... relaxes you.
pgn_newolivhome_06a | {i}Наверное пока она тут лежала, её горячая киска подогрела холодную ванну.{/i} | {i}Probably while she was lying there, her hot pussy warmed up a cold bath.{/i}
pgn_newolivhome_06a | Что-то ещё? Если хочешь секса, то извини, не могу... очень устала и нет сил. Завтра у нас будет ещё одно свидание. | Anything else? If you want to have sex, I'm sorry, I can't... very tired and exhausted. Tomorrow we'll have another date.
pgn_newolivhome_06a | Понял. Оставлю тебя. Спокойно ночи. | Got it. I'll leave you to it. Good night.
pgn_newolivhome_06b | Как прошло свидание? | How was your date?
pgn_newolivhome_06b | Ой, знаешь, хорошо. С удовольствием пойду с ней ещё на одно. Миранда предложила сходить в одно место. | Oh, you know, okay. I'd love to go to another one with her. Miranda offered to go to the same place.
pgn_newolivhome_06b | Ясно. | Okay.
pgn_newolivhome_06b | {i}Оральный секс был, вагинальный тоже, остался третий.{/i} | {i}Oral sex was, vaginal too, there was a third one left.{/i}
pgn_newolivhome_07a | {i}Ого! Тётя лежит попкой к верху, сесть не может. Бедная и сексуальная попка тёти.{/i} | {i}oh, wow! My aunt's upside down, can't sit down. Poor and sexy aunt's ass.{/i}
pgn_newolivhome_07a | Кто там сзади так незаметно подкрался? | Who sneaked up on the back so quietly?
pgn_newolivhome_07a | Это я. | It's me.
pgn_newolivhome_07a | Что стоишь, присаживайся. | What are you doing, sit down.
pgn_newolivhome_07a | ... | ...
pgn_newolivhome_07a | ... | ...
pgn_newolivhome_07a | Ну, как? | How's it going?
pgn_newolivhome_07a | Как, что? | How, what?
pgn_newolivhome_07a | Как прошло ваше свидание? | How was your date?
pgn_newolivhome_07a | Сходили вместе в ресторан, поужинали. Потом прогулялись по пляжу. | We went to a restaurant together, had dinner. Then we went for a walk on the beach.
pgn_newolivhome_07a | ... | ...
pgn_newolivhome_07a | Тебе удобно, так лежать? | Are you comfortable lying like this?
pgn_newolivhome_07a | Сесть не могу, попа болит. | I can't sit down, my butt hurts.
pgn_newolivhome_07a | А что случилось? | What happened?
pgn_newolivhome_07a | Поскользнулась и упала, вот и болит. | Slipped and fell, so it hurts.
pgn_newolivhome_07a | Я маме после съёмок массаж делаю, ей помогает. Если хочешь, могу тебе массаж попы сделать. | I give my mom a massage after filming, it helps her. If you want, I can give you a pop-up massage.
pgn_newolivhome_07a | Нет, спасибо. Извини, но мне сейчас не до этого. Может пойдёшь спать? | No, thank you. I'm sorry, but I don't have time for this right now. Why don't you go to bed?
pgn_newolivhome_07a | Мне кажется, что я не смогу уснуть. | I don't think I can sleep.
pgn_newolivhome_07a | Ох! [pname_max[0]]! | Oh! [pname_max[0]]!
pgn_newolivhome_07a | Я понимаю, что ты у стала, но может поможешь? | I know you've got it, but can you help me?
pgn_newolivhome_07a | Хм... Всё что могу предложить, это подрочить на меня. | Um... All I can offer is a jerk off on me.
pgn_newolivhome_07a | Но у меня же туннельный синдром? | But I have tunnel syndrome, right?
pgn_newolivhome_07a | Маме будешь об этом напоминать. А ты сам знаешь, что мы эту болезнь вместе придумали. | You're gonna remind Mom of this. And you know that we made up this disease together.
pgn_newolivhome_07a | Или дрочишь или сам ищи способ, как снять напряжение. | Either jerk off or find a way to relieve the tension.
pgn_newolivhome_07a | [pname_max[0]], ускоряйся. Мне ещё душ нужно принять. | [pname_max[0]], speed up. I still have to take a shower.
pgn_newolivhome_07a | Хорошо. Сейчас. | Okay. Now.
pgn_newolivhome_07a | Почти... | Almost...
pgn_newolivhome_07a | Аррггхх... Мммм... | Arghghh... Mmm...
pgn_newolivhome_07a | Ай! В глаз попал. | Ow! I got it in my eye.
pgn_newolivhome_07a | Прости. Я целился в рот... | Sorry. I was aiming for the mouth...
pgn_newolivhome_07a | Чуть не забыла. Миранда просила передать, что попробует договорится о скидке и после обеда сообщит о результатах. | I almost forgot. Miranda asked me to tell you she'll try to negotiate a discount and report the results after lunch.
pgn_newolivhome_07a | Спасибо. Ты самая лучшая тётя в мире! | Thank you. You're the best aunt in the world!
pgn_newolivhome_07a | Спасибо. Давай, надевай шорты и бегом спать. | Thank you. Come on, put your shorts on and go to bed.
pgn_newolivhome_07b | Расскажешь, как прошло? | Will you tell me how it went?
pgn_newolivhome_07b | Ммм... нет. | Mmm... no.
pgn_newolivhome_07b | Почему? | Why?
pgn_newolivhome_07b | {i}Можешь не рассказывать и так знаю.{/i} | {i}You don't have to tell me that.{/i}
pgn_newolivhome_07b | Миранда просила передать, что после обеда сообщит по поводу скидки. | Miranda asked me to tell you that she will report the discount after lunch.
pgn_newolivhome_07b | Спасибо. Я у тебя в долгу. | Thank you. I owe you one.
pgn_newolivhome_07b | Ты знаешь, как отплатить. | You know how to repay.
pgn_newolivhome_07b | Секс? | Sex?
pgn_newolivhome_07b | Секс, это только для развлечения или снятия напряжения. Для меня лучше и на пользу карьере, когда знаешь все правильные реплики. | Sex, this is only for entertainment or relaxation. It's better for me to have a career when you know all the right lines.
pgn_newolivhome_07b | Ааа... точно. | Aah... exactly.
pgn_newolivhome_08a | {#r=Привет.} | {#r=Hi.} | pgn_newolivhome_08a | {#r=Я смог найти вам жильё по приемлемой цене.} | {#r=I was able to find you a place to live at a reasonable price.} | pgn_newolivhome_08a | {#r=В центре города. Недалеко от школы.} | {#r=In the middle of town. Not far from school.} | pgn_newolivhome_08a | {#r=$2000 в месяц.} | {#r=$2,000 a month.} | pgn_newolivhome_08a | {#r=Что мне передать агенту по недвижимости?} | {#r=What do I tell the real estate agent?} | pgn_newolivhome_08a | {#l=Ох! [pname_max[0]]!} | {#l=Oh! [pname_max[0]]!} | pgn_newolivhome_08a | {#l=Как? Как тебе удалось?} | {#l=How? How did you do it?} | pgn_newolivhome_08a | {#l=Через недвижимость дороже получается. А у тебя наоборот.} | {#l=In real estate, it's more expensive. And you have the other way around.} | pgn_newolivhome_08a | {#l=Мы с мамой никак не могли найти} | {#l=There's no way Mom and I could find it.} | pgn_newolivhome_08a | {#l=Конечно. Мы согласны. Спасибо.} | {#l=Of course. We agree. Thank you.} | pgn_newolivhome_08a | {#r=Хорошо. Я сообщу агенту, как с вами связаться.} | {#r=Okay. I'll let the agent know how to contact you.} | pgn_newolivhome_08b | {#r=Здравствуйте.} | {#r=Hello.} | pgn_newolivhome_08b | {#r=Моя знакомая рада, что цена не такая высокая.} | {#r=My friend is glad the price isn't so high.} | pgn_newolivhome_08b | {#r=Она согласна.} | {#r=She agrees.} | pgn_newolivhome_08b | {#l=Хорошо. Тогда можете дать мне её контактный номер.} | {#l=Okay. Then you can give me her contact number.} | pgn_newolivhome_08b | {#r=Да. Вот.} | {#r=Yeah. Here.} | pgn_newolivhome_08b | {#r=Номер отправлен} | {#r=Number sent} | pgn_newolivhome_08b | {#l=Спасибо. С вами приятно иметь дело.} | {#l=Thank you. It's a pleasure doing business with you.} | pgn_newolivhome_08b | {#l=Надеюсь, ещё увидимся.} | {#l=I hope to see you again.} | pgn_newolivhome_09 | {i}Вовремя, переезд проходит полным ходом. Пойду, узнаю как дела, может ещё какая-то помощь требуется.{/i} | {i}Time, moving is in full swing. I'm gonna go find out what's going on, see if I can get any more help.{/i}
pgn_newolivhome_09 | Эй! Привет! | Hey! Hi!
pgn_newolivhome_09 | {i}Наверное поздно пришёл, уже всё привезли им помощь уже не понадобится. Но, всё же я приехал.{/i} | {i}It's probably too late, they won't be needing help anymore. But I'm still here.{/i}
pgn_newolivhome_09 | Никто не открывает. Может... | Nobody opens. Maybe...
pgn_newolivhome_09 | Открыто. | Open.
pgn_newolivhome_09 | [pname_max[0]]! Спасибо, что пришёл... | [pname_max[0]]! Thank you for coming...
pgn_newolivhome_09 | Здравствуйте. Диана. | Hello. Diana.
pgn_newolivhome_09 | Ничего, что я в халате? | Is it okay if I'm in my robe?
pgn_newolivhome_09 | Эм.. Ну... Ведь... | Um... Well... Because...
pgn_newolivhome_09 | Да, ты прав, не могу же я голой ходить и мешать людям работать. | Yeah, you're right, I can't go naked and stop people from working.
pgn_newolivhome_09 | Мне Оливия передала, что ты помог нам с поиском нового жилья. Спасибо тебе большое. | Olivia told me you helped us find a new place to live. Thank you very much.
pgn_newolivhome_09 | Извини, что тогда запретила к нам приходить. Не знаю даже, почему так поступила. | I'm sorry I forbade you to come to us then. I don't even know why I did that.
pgn_newolivhome_09 | {i}Всё она хорошо помнит и знает.{/i} | {i} All she remembers and knows.{/i}
pgn_newolivhome_09 | Да нечего, всё хорошо. Я рад помочь своей девушке и её маме. | Nothing, it's okay. I'm happy to help my girlfriend and her mother.
